function/KAN type,epoch,lr,train loss,train accuracy,test loss,test accuracy,F1,run time,param num
fixed_sin,0,0.01,0.300392890670724,0.90835,0.32236705158071916,0.904,0.9030111475241862,4.3115,79510
fixed_sin,1,0.01,0.2891736863288226,0.9119666666666667,0.3301334132553096,0.9024,0.9006956228927085,4.0044,79510
fixed_sin,2,0.01,0.3016476288739679,0.9060666666666667,0.3280982430431114,0.8977,0.896371559144162,4.1359,79510
fixed_sin,3,0.01,0.37109282180698694,0.8831666666666667,0.40122939074400127,0.8758,0.8738499743454333,4.1338,79510
fixed_sin,4,0.01,0.23827445025303598,0.9253333333333333,0.29153554833784795,0.9119,0.9105621543809171,3.6623,79510
fixed_sin,5,0.01,0.3590459973493746,0.887,0.4115252263227086,0.8737,0.8730718115142654,3.623,79510
fixed_sin,6,0.01,0.35421896072974335,0.8856,0.40197057331538505,0.8745,0.8726249755260932,3.7228,79510
fixed_sin,7,0.01,0.31498651019037405,0.90015,0.36038451688067547,0.8913,0.8903519287456932,3.7931,79510
fixed_sin,8,0.01,0.32736159855527663,0.8977166666666667,0.35672497591537655,0.8902,0.8896351363922553,3.7244,79510
fixed_sin,9,0.01,0.34705564336005307,0.8909666666666667,0.39754018647845385,0.8775,0.8757193823960421,3.666,79510
random_sin,0,0.01,0.16712914612183946,0.9492333333333334,0.1935704789883724,0.9417,0.9410097651080621,7.4588,79510
random_sin,1,0.01,0.16182422326571905,0.9479833333333333,0.20072264321575498,0.9392,0.9384271019092052,7.5823,79510
random_sin,2,0.01,0.1572862975587294,0.9503333333333334,0.202058963186944,0.9357,0.9346607021892938,7.5573,79510
random_sin,3,0.01,0.11120859215329927,0.9646,0.16471603022336628,0.9487,0.948309942485991,7.6252,79510
random_sin,4,0.01,0.09429212027628507,0.9702666666666667,0.15189889114599225,0.9567,0.9562672195027506,7.5186,79510
random_sin,5,0.01,0.10272920696930622,0.9663333333333334,0.16920423562264747,0.9507,0.9501526503234118,7.5594,79510
random_sin,6,0.01,0.0794056293054192,0.9750666666666666,0.14205883333502503,0.959,0.9586658653129068,7.6149,79510
random_sin,7,0.01,0.07825106450109316,0.9747833333333333,0.15525421951704652,0.9546,0.9543659359562401,7.6394,79510
random_sin,8,0.01,0.08036431742222436,0.9732666666666666,0.15261708081875644,0.9559,0.955568726423033,7.5405,79510
random_sin,9,0.01,0.08541029288710505,0.972,0.1711709827198024,0.9532,0.9526900074696396,7.5508,79510
ranged_sin,0,0.01,0.42374742632386275,0.8733166666666666,0.45223361808972756,0.8646,0.8626528710440103,7.6164,79510
ranged_sin,1,0.01,0.4109569692027086,0.87625,0.4518265466021884,0.8645,0.8620718437811347,7.6549,79510
ranged_sin,2,0.01,0.3906653061000777,0.8814833333333333,0.4401968233524614,0.8731,0.8719118453306102,7.5963,79510
ranged_sin,3,0.01,0.3977540656288804,0.8746,0.4587067573977883,0.8585,0.8571306594451638,7.6062,79510
ranged_sin,4,0.01,0.37573074574854326,0.8877166666666667,0.41473387703774084,0.8804,0.8784400193953255,7.6042,79510
ranged_sin,5,0.01,0.3819785453220293,0.8845666666666666,0.424098313424238,0.8785,0.8765774921182686,7.6475,79510
ranged_sin,6,0.01,0.37066405065564206,0.88365,0.4235027998116366,0.8717,0.8694698397126077,7.5815,79510
ranged_sin,7,0.01,0.3504929296386394,0.8930666666666667,0.400434137078797,0.8835,0.8811913428070085,7.5826,79510
ranged_sin,8,0.01,0.37289521465105796,0.8852333333333333,0.4133521026344436,0.8768,0.8750282563901367,7.6627,79510
ranged_sin,9,0.01,0.35952996472909504,0.8898166666666667,0.40278528849030754,0.8815,0.8792474269703862,7.7337,79510
fixed_sin,0,0.02,0.6349049213407899,0.8027333333333333,0.659053423791934,0.7941,0.7909283694697998,3.673,79510
fixed_sin,1,0.02,0.6077349569592903,0.80955,0.6442762138737235,0.803,0.7999644255450306,3.6956,79510
fixed_sin,2,0.02,0.6369586136899015,0.80155,0.6771731629113483,0.7873,0.7841049780163313,3.7465,79510
fixed_sin,3,0.02,0.647143435630717,0.7923,0.6600608105302617,0.7939,0.7923921756395458,3.6814,79510
fixed_sin,4,0.02,0.6450255668716136,0.7927833333333333,0.6687468547540106,0.7853,0.7813257760763769,3.6841,79510
fixed_sin,5,0.02,0.5659953061896347,0.8238333333333333,0.5824873256170826,0.8196,0.816514726808944,3.7129,79510
fixed_sin,6,0.02,0.601576079501272,0.8176833333333333,0.6460419025295859,0.8067,0.8021661428552598,3.5987,79510
fixed_sin,7,0.02,0.5249198896607865,0.8435666666666667,0.5613116557905629,0.8344,0.832190728177293,3.7706,79510
