function/KAN type,epoch,lr,train loss,train accuracy,test loss,test accuracy,F1,run time,param num
random_sin,0,0.01,0.16343990651004986,0.9503,0.17828611848923337,0.9459,0.9454084237971877,9.0039,79510
random_sin,1,0.01,0.12281049813217382,0.9620833333333333,0.15901295214915162,0.9518,0.951395485638656,8.9372,79510
random_sin,2,0.01,0.12876520900210656,0.9595,0.18384902598632938,0.9414,0.9409931563875377,10.0991,79510
random_sin,3,0.01,0.11285177897562636,0.9637166666666667,0.1747787414433043,0.9488,0.9483265440341585,9.1378,79510
random_sin,4,0.01,0.09503706471263759,0.97005,0.15706824131568028,0.9528,0.95233253761307,8.6317,79510
random_sin,5,0.01,0.12217769242410086,0.9599166666666666,0.17596442463873013,0.9476,0.9472476964639245,8.9514,79510
random_sin,6,0.01,0.09366194275108529,0.9702,0.16269915216827802,0.9521,0.9516201035586457,9.0028,79510
random_sin,7,0.01,0.11038889857713999,0.96375,0.18393163306336066,0.9483,0.9478945552986963,9.0898,79510
random_sin,8,0.01,0.09797311690089895,0.96765,0.17506462165931608,0.9516,0.9510590327099957,8.7756,79510
random_sin,9,0.01,0.08239005521974409,0.97205,0.17041578287611697,0.9522,0.9518858800400363,8.9834,79510
random_sin,0,0.02,0.23840675194428038,0.9276333333333333,0.25709089048349176,0.9247,0.9233185313399884,8.7539,79510
random_sin,1,0.02,0.2196113423390715,0.9335166666666667,0.24122046596803673,0.9304,0.9299366466570016,8.1575,79510
random_sin,2,0.02,0.17986589569602407,0.9463666666666667,0.22598800602054614,0.9381,0.9373164153719774,8.0495,79510
random_sin,3,0.02,0.18420944040242052,0.9436333333333333,0.23787695944018566,0.9312,0.9305671797039086,7.9354,79510
random_sin,4,0.02,0.18519884095922398,0.9448833333333333,0.23907764443154833,0.9342,0.9334939858204299,7.9243,79510
random_sin,5,0.02,0.19776508124517417,0.93985,0.2563474439470109,0.9263,0.9253480260148962,8.1583,79510
random_sin,6,0.02,0.1773865391174629,0.9464333333333333,0.2411995817555684,0.936,0.935476590320105,8.7475,79510
random_sin,7,0.02,0.17716400114807493,0.9461333333333334,0.25112433767444486,0.9288,0.9282316635454946,8.4596,79510
random_sin,8,0.02,0.17909622722283514,0.9449666666666666,0.25472914682594455,0.9325,0.9318501393979994,8.5182,79510
random_sin,9,0.02,0.14628196401305116,0.9545333333333333,0.21586158710152242,0.9388,0.9382438030332235,8.3703,79510
random_sin,0,0.03,0.34398633086763974,0.89915,0.3351251142111364,0.9016,0.901033950157516,8.1974,79510
random_sin,1,0.03,0.3235436615698945,0.9036333333333333,0.3433688809846047,0.8991,0.8981935129776483,8.1988,79510
random_sin,2,0.03,0.2735743623778923,0.9205166666666666,0.30189649696064413,0.915,0.913766862027706,8.2018,79510
random_sin,3,0.03,0.26184560706827054,0.9233833333333333,0.2952549021637696,0.9198,0.9190009589496551,8.2577,79510
random_sin,4,0.03,0.27577071972509054,0.9207,0.3072700454040792,0.9189,0.9175060860012823,8.1709,79510
random_sin,5,0.03,0.26338799235258087,0.9248333333333333,0.31610939142762856,0.916,0.9146467157825585,8.1556,79510
random_sin,6,0.03,0.24256274029850833,0.9287833333333333,0.30357771217756296,0.9217,0.9209687294756799,8.4184,79510
random_sin,7,0.03,0.26790462623733574,0.9227666666666666,0.3363292216987699,0.9155,0.9139658847746167,8.3009,79510
random_sin,8,0.03,0.26850908952973673,0.9218333333333333,0.3155165161124792,0.9188,0.9176645777509489,7.9803,79510
random_sin,9,0.03,0.2642928384987117,0.9263833333333333,0.3238340648347927,0.9168,0.9156127201069648,8.0015,79510
random_sin,0,0.04,0.4132569804867066,0.8798833333333334,0.4142303217178697,0.8831,0.8813126683796092,7.9021,79510
random_sin,1,0.04,0.3593391269834629,0.8984833333333333,0.37111098372679985,0.8963,0.8951216634163126,8.104,79510
random_sin,2,0.04,0.3882193324455956,0.8957666666666667,0.40102957209251866,0.8932,0.8923920251057973,8.0308,79510
random_sin,3,0.04,0.4367915922756007,0.8805333333333333,0.44691049987390924,0.8796,0.8780622717209893,8.2625,79510
random_sin,4,0.04,0.355785503645918,0.90335,0.3882084430379283,0.8986,0.8972097162799836,7.9964,79510
random_sin,5,0.04,0.3696592536681433,0.9022333333333333,0.4141417175685619,0.8969,0.8954545268344385,8.0815,79510
random_sin,6,0.04,0.3672163396644821,0.90215,0.40838395420960183,0.8992,0.8978195057021567,8.034,79510
random_sin,7,0.04,0.3824847960955839,0.9005666666666666,0.4163457205857204,0.8974,0.8966092948001281,8.0469,79510
random_sin,8,0.04,0.3931616808929201,0.9013333333333333,0.4527275962102565,0.89,0.8884922566921931,8.0144,79510
random_sin,9,0.04,0.36113680977382256,0.9084833333333333,0.4178182676220965,0.9007,0.899656056168935,8.0173,79510
random_sin,0,0.05,0.5212039978964242,0.8589833333333333,0.5151477899568476,0.8627,0.8600001273781792,8.0309,79510
random_sin,1,0.05,0.4908095758749859,0.87215,0.48345926812120305,0.8732,0.8719107954825065,8.0101,79510
random_sin,2,0.05,0.45164249641602355,0.8805166666666666,0.46980480184173506,0.8779,0.8764594311629545,7.9366,79510
random_sin,3,0.05,0.4592872336745135,0.88005,0.49384226450684726,0.8764,0.8750332917214688,7.9782,79510
random_sin,4,0.05,0.5020253139295812,0.8690666666666667,0.5031138038511869,0.8682,0.8673681782850696,7.9217,79510
random_sin,5,0.05,0.44842203036903827,0.8824666666666666,0.48478816281173637,0.878,0.8772134720010261,7.9079,79510
random_sin,6,0.05,0.43127815608086106,0.8893333333333333,0.48213694983749256,0.8833,0.8821231390129058,7.9996,79510
random_sin,7,0.05,0.4459500220864376,0.8840666666666667,0.4967545029369129,0.8833,0.8821080825326035,8.0114,79510
random_sin,8,0.05,0.4271552601316844,0.88585,0.47603331830732193,0.8816,0.8801389222309407,7.9539,79510
random_sin,9,0.05,0.4218989537437079,0.8964,0.47180550108562896,0.8925,0.8917421015749307,7.9077,79510
random_sin,0,0.001,0.16890748892861135,0.9525166666666667,0.1706044516840558,0.948,0.9475174314215788,7.9891,79510
random_sin,1,0.001,0.1011803176806076,0.9727333333333333,0.12250845958211809,0.9624,0.9620988434088,7.8574,79510
random_sin,2,0.001,0.0754639787444555,0.9806166666666667,0.1064362319091418,0.9689,0.9687132597181012,7.8392,79510
random_sin,3,0.001,0.056054057827942184,0.9850166666666667,0.0976441984686253,0.9692,0.9689184362161489,7.8539,79510
random_sin,4,0.001,0.041033605507799366,0.9901833333333333,0.09339333495576006,0.9714,0.9712154963415334,8.1735,79510
random_sin,5,0.001,0.03551071745726758,0.9916,0.09596560373427762,0.9711,0.9708775041542947,7.8953,79510
random_sin,6,0.001,0.026697894827877756,0.9942333333333333,0.0909481211836082,0.973,0.972760867586065,7.9339,79510
random_sin,7,0.001,0.021780906761534758,0.9955166666666667,0.09491330368598555,0.9708,0.9705543986162928,7.8659,79510
random_sin,8,0.001,0.02093123374799731,0.9954666666666667,0.10351379811474579,0.9695,0.9692232519076761,7.9327,79510
random_sin,9,0.001,0.014903192089916245,0.9971,0.09484765150919439,0.972,0.9717214395803776,7.8632,79510
random_sin,0,0.013250000000000001,0.18699047640800032,0.942,0.2125162425195905,0.9393,0.9387585947364563,7.9244,79510
random_sin,1,0.013250000000000001,0.1635968085906621,0.9495,0.19745299760489518,0.9411,0.9406252586775858,7.9729,79510
random_sin,2,0.013250000000000001,0.1408443345692255,0.9569333333333333,0.18747210017980853,0.9438,0.9431851250488859,8.084,79510
random_sin,3,0.013250000000000001,0.14968238720126242,0.9541333333333334,0.20095367606723338,0.9415,0.9409552697145559,8.0817,79510
random_sin,4,0.013250000000000001,0.12170333813018064,0.9626,0.16934363398208596,0.9525,0.9520957558410832,8.0595,79510
random_sin,5,0.013250000000000001,0.11361004604396027,0.9647333333333333,0.1726225945567653,0.9486,0.9480847420551587,8.0469,79510
random_sin,6,0.013250000000000001,0.10887662364916602,0.9653166666666667,0.17671780765299822,0.9505,0.9498263172922288,8.2433,79510
random_sin,7,0.013250000000000001,0.11935084671832558,0.9621666666666666,0.17955885290325424,0.946,0.9455817102433655,8.2787,79510
random_sin,8,0.013250000000000001,0.11597951755040824,0.9626666666666667,0.18209404002943308,0.9488,0.9483171395214098,8.7364,79510
random_sin,9,0.013250000000000001,0.09693941622768948,0.96845,0.18707853526093515,0.9497,0.9493692441124754,8.4726,79510
random_sin,0,0.025500000000000002,0.2678234131732729,0.9186,0.28913286890075274,0.9131,0.9116516641317199,8.3769,79510
random_sin,1,0.025500000000000002,0.26404447664917785,0.922,0.2995950785127415,0.9141,0.9136848188278754,8.4678,79510
random_sin,2,0.025500000000000002,0.2923498404528032,0.9134166666666667,0.3226779279340604,0.9063,0.9060295493462818,8.4237,79510
random_sin,3,0.025500000000000002,0.22693878151317523,0.9325166666666667,0.25598531552430265,0.9261,0.9251707750869942,8.3706,79510
random_sin,4,0.025500000000000002,0.2341355596647175,0.93195,0.27136765266205093,0.9266,0.9260499929964524,8.2802,79510
random_sin,5,0.025500000000000002,0.21381370641036965,0.9378833333333333,0.2579753339130455,0.9305,0.9297816239704545,8.0204,79510
random_sin,6,0.025500000000000002,0.21909722202677906,0.9383666666666667,0.26505413326689864,0.9292,0.9285214235795515,8.772,79510
random_sin,7,0.025500000000000002,0.21796153673826696,0.9377,0.27062616215805246,0.9276,0.9266697665548204,8.0949,79510
random_sin,8,0.025500000000000002,0.22395784362975849,0.9348333333333333,0.28585033633621637,0.9263,0.9250118464430331,8.28,79510
random_sin,9,0.025500000000000002,0.20219128249959747,0.9395666666666667,0.27730605098015515,0.9261,0.9252630130444309,8.7486,79510
random_sin,0,0.037750000000000006,0.3894757984448343,0.8872833333333333,0.4139378534594349,0.8799,0.87898176228559,8.136,79510
random_sin,1,0.037750000000000006,0.3535324285732213,0.9020333333333334,0.3695908010504238,0.8968,0.8953231537036335,8.7747,79510
random_sin,2,0.037750000000000006,0.39002642355192063,0.8941666666666667,0.4151440380247915,0.8886,0.8868355519236241,8.7636,79510
random_sin,3,0.037750000000000006,0.402011132531011,0.8901333333333333,0.41682310098675407,0.8918,0.8911591617681092,8.7016,79510
random_sin,4,0.037750000000000006,0.35309702823998956,0.9029166666666667,0.3905690674474285,0.8965,0.8957914086129766,8.9568,79510
random_sin,5,0.037750000000000006,0.3322187021477962,0.90675,0.3743008007503049,0.9012,0.9001500451309836,8.2883,79510
random_sin,6,0.037750000000000006,0.3817604568356009,0.8974833333333333,0.4385216453818569,0.8909,0.8907585098132639,8.0994,79510
random_sin,7,0.037750000000000006,0.35072203297446025,0.9024166666666666,0.38569779628828454,0.9021,0.9010409746872773,8.421,79510
random_sin,8,0.037750000000000006,0.36435852885278047,0.9009166666666667,0.41006359959816097,0.8946,0.8937782319800911,8.0585,79510
random_sin,9,0.037750000000000006,0.34924021991950743,0.9049,0.4019593593789039,0.9015,0.899360148511214,8.2397,79510
random_sin,0,0.05,0.5534035548377139,0.8553,0.5722593128277808,0.8549,0.8519674462998402,8.8272,79510
random_sin,1,0.05,0.4936596218869884,0.8673833333333333,0.511170579013741,0.8681,0.8650429357768818,9.1186,79510
random_sin,2,0.05,0.4680092420095383,0.8786333333333334,0.5013803613793318,0.8717,0.8709849230543772,8.4818,79510
random_sin,3,0.05,0.4990257043828334,0.8695166666666667,0.5329932763603082,0.8646,0.8630637109540057,8.59,79510
random_sin,4,0.05,0.4681089433160291,0.8766333333333334,0.5116330775414493,0.8679,0.8666930138328267,8.0073,79510
random_sin,5,0.05,0.4968212941633676,0.8729,0.5161482715967355,0.8692,0.8671993929025273,7.9975,79510
random_sin,6,0.05,0.4657722435859856,0.8788166666666667,0.5117689173336432,0.8701,0.8680066280778899,8.7065,79510
random_sin,7,0.05,0.4425395810996482,0.8840166666666667,0.4669729845159373,0.8805,0.8791292957530301,8.3799,79510
random_sin,8,0.05,0.4806651349888364,0.8791333333333333,0.5041438210518308,0.8782,0.8775124063437925,7.975,79510
random_sin,9,0.05,0.4958385966225728,0.8718166666666667,0.5394192953433865,0.8693,0.8676007869420026,8.0471,79510
