function/KAN type,epoch,lr,train loss,train accuracy,test loss,test accuracy,F1,run time,param num
fixed_sin,0,0.01,0.3480049197846003,0.89425,0.3520985712670976,0.8909,0.8896180474380315,3.9652,79510
fixed_sin,1,0.01,0.37850846444715314,0.8786333333333334,0.4209937187516765,0.8695,0.8679478236576195,3.6812,79510
fixed_sin,2,0.01,0.2787042716339326,0.9137,0.31155753516514967,0.9023,0.9010522670962435,3.6856,79510
fixed_sin,3,0.01,0.36768150827619056,0.8845333333333333,0.38939748388851525,0.878,0.8768636183159526,3.7669,79510
fixed_sin,4,0.01,0.2819560709347857,0.9104333333333333,0.32720703274533625,0.8986,0.8966326402868571,3.7848,79510
fixed_sin,5,0.01,0.30361216566138177,0.9052166666666667,0.3669026610530486,0.8911,0.8894624649995002,3.8018,79510
fixed_sin,6,0.01,0.24551433331168282,0.9245,0.2897708144655843,0.9128,0.9117942755671169,3.7117,79510
fixed_sin,7,0.01,0.311410959246062,0.9027333333333334,0.3682136463986081,0.8912,0.8892893949764604,3.7943,79510
fixed_sin,8,0.01,0.23911833893388573,0.9256833333333333,0.2883772973659312,0.9099,0.9091082191331875,3.5654,79510
fixed_sin,9,0.01,0.23217825294891273,0.9277,0.2889522420728852,0.9127,0.9114406731815032,3.5356,79510
fixed_sin,0,0.02,0.6310118793615146,0.80725,0.660458395388096,0.7952,0.7923007404192003,3.4771,79510
fixed_sin,1,0.02,0.6610341360256362,0.7932333333333333,0.7063649110733323,0.7786,0.7764770267991451,3.588,79510
fixed_sin,2,0.02,0.5689986962785345,0.8240666666666666,0.5964223911428148,0.8134,0.8112498095338629,3.5063,79510
fixed_sin,3,0.02,0.6807057124846525,0.7862,0.7394573162695405,0.7687,0.7638316612192464,3.5006,79510
fixed_sin,4,0.02,0.6827169420050659,0.79205,0.7034486128835921,0.7854,0.7838708991261987,3.4827,79510
fixed_sin,5,0.02,0.532152681764382,0.8350833333333333,0.5524268355813755,0.8291,0.8269047277615099,3.8674,79510
fixed_sin,6,0.02,0.5976286227705636,0.8146,0.6199823628375485,0.8069,0.8039433596426517,3.7845,79510
fixed_sin,7,0.02,0.736267753723842,0.7748833333333334,0.7600486538592418,0.7715,0.7642570495638192,3.7283,79510
fixed_sin,8,0.02,0.7721470378672899,0.7614833333333333,0.8028316668644073,0.7547,0.7490770528766063,3.7197,79510
fixed_sin,9,0.02,0.6502211818308719,0.8064166666666667,0.6689452794706745,0.8012,0.7973557685899205,3.8584,79510
fixed_sin,0,0.03,1.4443500957000992,0.55905,1.4600954613867838,0.5534,0.5361654634538857,3.9666,79510
fixed_sin,1,0.03,1.021246856717921,0.6855833333333333,1.0215886698406973,0.6797,0.6739446071950637,3.8335,79510
fixed_sin,2,0.03,0.9837743642170038,0.6998,0.9647889689655061,0.7034,0.6994876123555562,3.5203,79510
fixed_sin,3,0.03,0.9615335616030927,0.69995,0.9522656335192881,0.699,0.6922906044176067,3.582,79510
fixed_sin,4,0.03,0.8955693095604748,0.7189166666666666,0.8870050406000417,0.7212,0.7135884793145627,3.4968,79510
fixed_sin,5,0.03,1.0964018093751693,0.6663333333333333,1.1016129669110486,0.6662,0.6541539445826672,3.6187,79510
fixed_sin,6,0.03,0.9613165904019179,0.7142666666666667,0.9740758420555455,0.7153,0.7121607440252491,3.5559,79510
fixed_sin,7,0.03,0.9616753221956144,0.7002333333333334,0.9886694093039081,0.6989,0.6939579327789132,3.5722,79510
