function/KAN type,epoch,lr,train loss,train accuracy,test loss,test accuracy,F1,run time,param num
ranged_sin,0,0.01,0.42657734344064047,0.87025,0.44483133595270713,0.8666,0.8641696205192908,8.6189,79510
ranged_sin,1,0.01,0.40635729217325955,0.8777666666666667,0.43347783386707306,0.87,0.8684329076633075,7.9585,79510
ranged_sin,2,0.01,0.3974033314218399,0.8768666666666667,0.4155354640523719,0.8725,0.8700367794749997,7.8238,79510
ranged_sin,3,0.01,0.41754656667902523,0.8729,0.46166529269165296,0.8609,0.8587468352800263,7.4788,79510
ranged_sin,4,0.01,0.4002460359907481,0.8818,0.4404175955398827,0.8697,0.8673680032955398,7.7932,79510
ranged_sin,5,0.01,0.4023689076240891,0.8769833333333333,0.43165129499070964,0.8716,0.8696544859047073,7.5729,79510
ranged_sin,6,0.01,0.3923693614235438,0.8810833333333333,0.4437376324348389,0.8651,0.8635001811333461,7.5008,79510
ranged_sin,7,0.01,0.4187916818219843,0.8722166666666666,0.45156378695254873,0.868,0.8648796342354105,7.5345,79510
ranged_sin,8,0.01,0.3568888656191353,0.8933833333333333,0.39365429405099267,0.8834,0.8814323821738714,7.5879,79510
ranged_sin,9,0.01,0.3976091069580395,0.8801,0.45185417572783815,0.8647,0.8632856473166817,7.4586,79510
ranged_sin,0,0.02,0.6147260643653015,0.8113333333333334,0.6338247008099678,0.8049,0.8019558244473043,7.7708,79510
ranged_sin,1,0.02,0.5367131544582879,0.8407166666666667,0.561620863522314,0.834,0.8310941504656395,7.4931,79510
ranged_sin,2,0.02,0.5839708502263402,0.8216,0.604935080192651,0.8172,0.813275158732484,7.464,79510
ranged_sin,3,0.02,0.5914002542397869,0.8226666666666667,0.6381140199911063,0.8077,0.8038340098142301,7.5854,79510
ranged_sin,4,0.02,0.5605523324629137,0.8298333333333333,0.6009884572522656,0.8222,0.816124426935672,7.62,79510
ranged_sin,5,0.02,0.6177126281042852,0.8147833333333333,0.6481690160028494,0.8103,0.8050247869748537,7.3976,79510
ranged_sin,6,0.02,0.6139936685435045,0.8087,0.653376118013054,0.8007,0.797763526437185,7.4164,79510
ranged_sin,7,0.02,0.5777808181417268,0.8259,0.6129845340445543,0.823,0.8193057561245485,7.368,79510
ranged_sin,8,0.02,0.5275523714514684,0.8430833333333333,0.5819448392339952,0.8315,0.8275592652515342,7.4286,79510
ranged_sin,9,0.02,0.6100294728364263,0.8160333333333334,0.6592083640728786,0.8047,0.8005480703210296,7.3903,79510
ranged_sin,0,0.03,0.9071298519939756,0.7146166666666667,0.9314659241658108,0.7112,0.7011793355152298,7.423,79510
ranged_sin,1,0.03,0.9715292641539564,0.7136,0.9865018919015386,0.7169,0.7079563591272067,7.4254,79510
ranged_sin,2,0.03,1.0311880433228986,0.6939166666666666,1.0466609107460945,0.6904,0.6842046482098899,7.443,79510
ranged_sin,3,0.03,0.9116959623309341,0.7143333333333334,0.9476177439947796,0.7085,0.6975135485526712,7.4171,79510
ranged_sin,4,0.03,0.7609915154447942,0.7585166666666666,0.788488228894343,0.7511,0.745450984341792,7.5083,79510
ranged_sin,5,0.03,0.8784341352707796,0.7241,0.9204639103382256,0.7162,0.7093085901859613,7.5271,79510
ranged_sin,6,0.03,0.8332650882603009,0.7358666666666667,0.8852357148744499,0.7293,0.722503804404475,7.5947,79510
ranged_sin,7,0.03,0.8637556361872504,0.7372833333333333,0.8817164233535718,0.7305,0.7208855973015236,7.5557,79510
ranged_sin,8,0.03,0.9411290333723463,0.7110333333333333,0.9674811585313955,0.7031,0.694836389694178,7.538,79510
ranged_sin,9,0.03,0.7765511812876537,0.7517,0.8176448470467974,0.7405,0.7322839660247125,7.5476,79510
ranged_sin,0,0.04,1.0703039056202497,0.6464166666666666,1.0860515081199111,0.6444,0.6260299379763138,7.6099,79510
ranged_sin,1,0.04,1.0624940469702169,0.6518833333333334,1.0901499479819254,0.6488,0.634263998282611,7.5661,79510
ranged_sin,2,0.04,0.983475245106449,0.6777333333333333,0.9746914183258251,0.6837,0.6750630246047287,7.5597,79510
ranged_sin,3,0.04,1.0675594656706364,0.6628166666666667,1.1321550444432884,0.65,0.6389878089006392,8.5202,79510
ranged_sin,4,0.04,1.0072273861751881,0.6567333333333333,1.0343857333538637,0.6597,0.6475694790302257,7.7201,79510
ranged_sin,5,0.04,1.105012434822664,0.6231333333333333,1.136133430869716,0.621,0.6115304317800868,7.6165,79510
ranged_sin,6,0.04,0.989162676211105,0.6594,1.0242836657603076,0.6551,0.6459492091365281,7.6362,79510
ranged_sin,7,0.04,0.9209765368687318,0.6849166666666666,0.9541749016494508,0.6824,0.6669912121929886,7.5826,79510
ranged_sin,8,0.04,1.1140692009727584,0.63235,1.1801529120487773,0.6224,0.6037075628063167,7.9478,79510
